1st Serve Tennis (Europe) (Unl);1st Serve Tennis (Europe) (Unl);Atari ST;;19xx;John Leaver;Sports/Tennis;;;;;0;;;;;
Namco Tennis Smash Court (Europe);Namco Tennis Smash Court (Europe);Sony PSP;;1996;SCEE;Sports/Tennis;;;;;0;;;;;
Netto de Tennis (Japan);Netto de Tennis (Japan);Sega Dreamcast;;2000;Capcom;Sports/Tennis;;;;;0;;;;;
Next Generation Tennis (Europe) (En,Fr,De,Es,It,Pt);Next Generation Tennis (Europe) (En,Fr,De,Es,It,Pt);Nintendo Game Boy Advance;;2002;Wanadoo;Sports/Tennis;;;;;0;;;;;
nss_aten;David Crane's Amazing Tennis (Nintendo Super System);Arcade;;1992;Absolute Entertainment Inc.;Sports/Tennis;;;;;0;;;;;
nss_aten;David Crane's Amazing Tennis (Nintendo Super System);Final Burn Alpha;;1992;Absolute Entertainment Inc.;Sports/Tennis;;;;;0;;;;;
nss_aten;David Crane's Amazing Tennis (Nintendo Super System);MAME (Advance);;1992;Absolute Entertainment Inc.;Sports/Tennis;;;;;0;;;;;
nss_aten;David Crane's Amazing Tennis (Nintendo Super System);MAME (Libretro);;1992;Absolute Entertainment Inc.;Sports/Tennis;;;;;0;;;;;
nss_aten;David Crane's Amazing Tennis (Nintendo Super System);MAME (Mame4all);;1992;Absolute Entertainment Inc.;Sports/Tennis;;;;;0;;;;;
nss_sten;Super Tennis (Nintendo Super System);Arcade;;1991;Nintendo;Sports/Tennis;;;;;0;;;;;
nss_sten;Super Tennis (Nintendo Super System);Final Burn Alpha;;1991;Nintendo;Sports/Tennis;;;;;0;;;;;
nss_sten;Super Tennis (Nintendo Super System);MAME (Advance);;1991;Nintendo;Sports/Tennis;;;;;0;;;;;
nss_sten;Super Tennis (Nintendo Super System);MAME (Libretro);;1991;Nintendo;Sports/Tennis;;;;;0;;;;;
nss_sten;Super Tennis (Nintendo Super System);MAME (Mame4all);;1991;Nintendo;Sports/Tennis;;;;;0;;;;;
On Court Tennis (USA);On Court Tennis (USA);Commodore 64;;1984;Activision/Gamestar;Sports/Tennis;;;;;0;;;;;
otwalls;Off the Wall (Sente);Arcade;;1984;Bally/Sente;Sports / Tennis;;;;;0;;;;;
otwalls;Off the Wall (Sente);Final Burn Alpha;;1984;Bally/Sente;Sports / Tennis;;;;;0;;;;;
otwalls;Off the Wall (Sente);MAME (Advance);;1984;Bally/Sente;Sports / Tennis;;;;;0;;;;;
otwalls;Off the Wall (Sente);MAME (Libretro);;1984;Bally/Sente;Sports / Tennis;;;;;0;;;;;
otwalls;Off the Wall (Sente);MAME (Mame4all);;1984;Bally/Sente;Sports / Tennis;;;;;0;;;;;
paddlema;Paddle Mania;Arcade;;1988;SNK;Sports / Tennis;;;;;0;;;;;
paddlema;Paddle Mania;Arcade;;1988;SNK;Sports/Tennis;;;;;0;;;;;
paddlema;Paddle Mania;Final Burn Alpha;;1988;SNK;Sports/Tennis;;;;;0;;;;;
paddlema;Paddle Mania;MAME (Advance);;1988;SNK;Sports / Tennis;;;;;0;;;;;
paddlema;Paddle Mania;MAME (Advance);;1988;SNK;Sports/Tennis;;;;;0;;;;;
paddlema;Paddle Mania;MAME (Libretro);;1988;SNK;Sports / Tennis;;;;;0;;;;;
paddlema;Paddle Mania;MAME (Libretro);;1988;SNK;Sports/Tennis;;;;;0;;;;;
paddlema;Paddle Mania;MAME (Mame4all);;1988;SNK;Sports / Tennis;;;;;0;;;;;
paddlema;Paddle Mania;MAME (Mame4all);;1988;SNK;Sports/Tennis;;;;;0;;;;;
Passing Shot (Europe);Passing Shot (Europe);Amstrad CPC;;1989;Image Works;Sports/Tennis;;;;;0;;;;;
Passing Shot (Europe);Passing Shot (Europe);Atari ST;;1988;Image Works;Sports/Tennis;;;;;0;;;;;
Passing Shot (Europe);Passing Shot (Europe);Commodore 64;;1989;ImageWorks Mirrorsoft;Sports/Tennis;;;;;0;;;;;
Passing Shot (Europe);Passing Shot (Europe);Sinclair ZX Spectrum;;1989;Image Works;Sports/Tennis;;;;;0;;;;;
passsht16a;Passing Shot (Japan, 4 Players, System 16A, FD1094 317-0071);Arcade;passsht;1988;Sega;Sports / Tennis;;;;;0;;;;;
passsht16a;Passing Shot (Japan, 4 Players, System 16A, FD1094 317-0071);Arcade;passsht;1988;Sega;Sports/Tennis;;;;;0;;;;;
passsht16a;Passing Shot (Japan, 4 Players, System 16A, FD1094 317-0071);Final Burn Alpha;passsht;1988;Sega;Sports/Tennis;;;;;0;;;;;
passsht16a;Passing Shot (Japan, 4 Players, System 16A, FD1094 317-0071);MAME (Advance);passsht;1988;Sega;Sports / Tennis;;;;;0;;;;;
passsht16a;Passing Shot (Japan, 4 Players, System 16A, FD1094 317-0071);MAME (Advance);passsht;1988;Sega;Sports/Tennis;;;;;0;;;;;
passsht16a;Passing Shot (Japan, 4 Players, System 16A, FD1094 317-0071);MAME (Libretro);passsht;1988;Sega;Sports / Tennis;;;;;0;;;;;
passsht16a;Passing Shot (Japan, 4 Players, System 16A, FD1094 317-0071);MAME (Libretro);passsht;1988;Sega;Sports/Tennis;;;;;0;;;;;
