12in1;12 in 1;Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;
7jigen;7jigen no Youseitachi - Mahjong 7 Dimensions (Japan);MAME (Advance);;1990;Dynax;Tabletop / Mahjong * Mature *;;;;;0;;;;;
7jigen;7jigen no Youseitachi - Mahjong 7 Dimensions (Japan);MAME (Libretro);;1990;Dynax;Tabletop / Mahjong * Mature *;;;;;0;;;;;
7jigen;7jigen no Youseitachi - Mahjong 7 Dimensions (Japan);MAME (Mame4all);;1990;Dynax;Tabletop / Mahjong * Mature *;;;;;0;;;;;
9ballsht2;9-Ball Shootout (set 2);Arcade;9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballsht2;9-Ball Shootout (set 2);MAME (Advance);9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballsht2;9-Ball Shootout (set 2);MAME (Libretro);9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballsht2;9-Ball Shootout (set 2);MAME (Mame4all);9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballsht3;9-Ball Shootout (set 3);Arcade;9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballsht3;9-Ball Shootout (set 3);MAME (Advance);9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballsht3;9-Ball Shootout (set 3);MAME (Libretro);9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballsht3;9-Ball Shootout (set 3);MAME (Mame4all);9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballsht;9-Ball Shootout (set 1);Arcade;;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballsht;9-Ball Shootout (set 1);MAME (Advance);;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballsht;9-Ball Shootout (set 1);MAME (Libretro);;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballsht;9-Ball Shootout (set 1);MAME (Mame4all);;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballshtc;9-Ball Shootout Championship;Arcade;9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
