2 Games in 1 - Moto GP + GT Advance 3 - Pro Concept Racing (Europe) (En,Fr,De,Es,It+En);2 Games in 1 - Moto GP + GT Advance 3 - Pro Concept Racing (Europe) (En,Fr,De,Es,It+En);Nintendo Game Boy Advance;;2004;THQ;Driving/Motorcycle;;;;;0;;;;;
mototour;MotoTour / Zippy Race (Tecfri license);MAME (Mame4all);travrusa;1983;Irem (Tecfri license);Driving / Race Bike;;;;;0;;;;;
mototour;MotoTour / Zippy Race (Tecfri license);MAME (Mame4all);travrusa;1983;Irem (Tecfri license);Motorcycle;;;;;0;;;;;
mt_shang;Super Hang-On (Mega-Tech);Arcade;;1989;Sega;Motorcycle;;;;;0;;;;;
mt_shang;Super Hang-On (Mega-Tech);Final Burn Alpha;;1989;Sega;Motorcycle;;;;;0;;;;;
mt_shang;Super Hang-On (Mega-Tech);MAME (Advance);;1989;Sega;Motorcycle;;;;;0;;;;;
mt_shang;Super Hang-On (Mega-Tech);MAME (Libretro);;1989;Sega;Motorcycle;;;;;0;;;;;
mt_shang;Super Hang-On (Mega-Tech);MAME (Mame4all);;1989;Sega;Motorcycle;;;;;0;;;;;
No Second Prize (Germany);No Second Prize (Germany);Atari ST;;1993;Thalion;Motorcycle;;;;;0;;;;;
Nostalga Speedway (Europe);Nostalga Speedway (Europe);Commodore 64;;19xx;ET Software;Motorcycle;;;;;0;;;;;
Out Run Europa (Europe) (Side A);Out Run Europa (Europe) (Side A);Commodore 64;;1992;US Gold/SEGA;Motorcycle;;;;;0;;;;;
Out Run Europa (Europe) (Side B);Out Run Europa (Europe) (Side B);Commodore 64;;1992;US Gold/SEGA;Motorcycle;;;;;0;;;;;
Pocket Rockets (USA);Pocket Rockets (USA);Commodore 64;;1988;Capcom;Motorcycle;;;;;0;;;;;
Premier Promoter (Europe);Premier Promoter (Europe);Sinclair ZX Spectrum;;1987;Sportsoft;Motorcycle;;;;;0;;;;;
Professional Speedway Manager (Europe);Professional Speedway Manager (Europe);Commodore 64;;1995;ET Software;Motorcycle;;;;;0;;;;;
rachero;Racing Hero (FD1094 317-0144);Arcade;;1989;Sega;Motorcycle;;;;;0;;;;;
rachero;Racing Hero (FD1094 317-0144);Final Burn Alpha;;1989;Sega;Motorcycle;;;;;0;;;;;
rachero;Racing Hero (FD1094 317-0144);MAME (Advance);;1989;Sega;Motorcycle;;;;;0;;;;;
rachero;Racing Hero (FD1094 317-0144);MAME (Libretro);;1989;Sega;Motorcycle;;;;;0;;;;;
rachero;Racing Hero (FD1094 317-0144);MAME (Mame4all);;1989;Sega;Motorcycle;;;;;0;;;;;
radikalba;Radikal Bikers (Version 2.02, Atari license);Arcade;radikalb;1998;Gaelco (Atari license);Motorcycle;;;;;0;;;;;
radikalba;Radikal Bikers (Version 2.02, Atari license);Final Burn Alpha;radikalb;1998;Gaelco (Atari license);Motorcycle;;;;;0;;;;;
radikalba;Radikal Bikers (Version 2.02, Atari license);MAME (Advance);radikalb;1998;Gaelco (Atari license);Motorcycle;;;;;0;;;;;
radikalba;Radikal Bikers (Version 2.02, Atari license);MAME (Libretro);radikalb;1998;Gaelco (Atari license);Motorcycle;;;;;0;;;;;
radikalba;Radikal Bikers (Version 2.02, Atari license);MAME (Mame4all);radikalb;1998;Gaelco (Atari license);Motorcycle;;;;;0;;;;;
Rally Bike (USA);Rally Bike (USA);Nintendo Entertainment System;;1990;Romstar;Motorcycle;;;;;0;;;;;
Rallye (Netherlands) (Unl);Rallye (Netherlands) (Unl);Commodore 64;;1985;Brillant Software;Motorcycle;;;;;0;;;;;
ridhero;Riding Hero (NGM-006)(NGH-006);Arcade;;1990;SNK;Motorcycle;;;;;0;;;;;
ridhero;Riding Hero (NGM-006)(NGH-006);Final Burn Alpha;;1990;SNK;Motorcycle;;;;;0;;;;;
ridhero;Riding Hero (NGM-006)(NGH-006);MAME (Advance);;1990;SNK;Motorcycle;;;;;0;;;;;
ridhero;Riding Hero (NGM-006)(NGH-006);MAME (Libretro);;1990;SNK;Motorcycle;;;;;0;;;;;
ridhero;Riding Hero (NGM-006)(NGH-006);MAME (Mame4all);;1990;SNK;Motorcycle;;;;;0;;;;;
ridheroh;Riding Hero (set 2);Arcade;ridhero;1990;SNK;Motorcycle;;;;;0;;;;;
ridheroh;Riding Hero (set 2);Final Burn Alpha;ridhero;1990;SNK;Motorcycle;;;;;0;;;;;
ridheroh;Riding Hero (set 2);MAME (Advance);ridhero;1990;SNK;Motorcycle;;;;;0;;;;;
ridheroh;Riding Hero (set 2);MAME (Libretro);ridhero;1990;SNK;Motorcycle;;;;;0;;;;;
ridheroh;Riding Hero (set 2);MAME (Mame4all);ridhero;1990;SNK;Motorcycle;;;;;0;;;;;
Road Rash (USA);Road Rash (USA);Sega CD;;1993;Electronic Arts;Motorcycle;;;;;0;;;;;
Road Rash (USA);Road Rash (USA);Sony PlayStation;;1995;Electronic Arts;Motorcycle;;;;;0;;;;;
Road Rash - Jailbreak (USA);Road Rash - Jailbreak (USA);Nintendo Game Boy Advance;;2003;Electronic Arts;Motorcycle;;;;;0;;;;;
Road Rash - Jailbreak (USA);Road Rash - Jailbreak (USA);Sony PlayStation;;1999;Electronic Arts;Motorcycle;;;;;0;;;;;
Road Rash 3D (USA);Road Rash 3D (USA);Sony PlayStation;;1998;Electronic Arts;Motorcycle;;;;;0;;;;;
Road Rash 64 (USA);Road Rash 64 (USA);Nintendo 64;;1999;THQ;Motorcycle;;;;;0;;;;;
RVF Honda (Europe);RVF Honda (Europe);Atari ST;;1989;MicroProse;Motorcycle;;;;;0;;;;;
SBK - Superbike World Championship (USA);SBK - Superbike World Championship (USA);Sony PSP;;2009;Milestone S.r.l;Motorcycle;;;;;0;;;;;
