#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Gaia Seed - Project Seed Trap (Japan);Gaia Seed - Project Seed Trap (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Galaga - Destination Earth (USA);Galaga - Destination Earth (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Galaxy Fight;Galaxy Fight;Sony PlayStation;;;;;;;;;;;;;;;;;;
Gear Fighter Dendoh;Gear Fighter Dendoh;Sony PlayStation;;;;;;;;;;;;;;;;;;
Gegege no Kitarou - Gyakushuu! Youkai Daikessen (Japan);Gegege no Kitarou - Gyakushuu! Youkai Daikessen (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Gekido Urban Fighters;Gekido Urban Fighters;Sony PlayStation;;;;;;;;;;;;;;;;;;
Gekioh Shooting King;Gekioh Shooting King;Sony PlayStation;;;;;;;;;;;;;;;;;;
Genei Tougi - Shadow Struggle;Genei Tougi - Shadow Struggle;Sony PlayStation;;;;;;;;;;;;;;;;;;
Glover (USA);Glover (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Goiken Muyou II (Japan);Goiken Muyou II (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Gokuu Densetsu - Magic Beast Warriors (Japan);Gokuu Densetsu - Magic Beast Warriors (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Gowcaizer;Gowcaizer;Sony PlayStation;;;;;;;;;;;;;;;;;;
Gradius Deluxe Pack;Gradius Deluxe Pack;Sony PlayStation;;;;;;;;;;;;;;;;;;
Grand Theft Auto;Grand Theft Auto;Sony PlayStation;;;;;;;;;;;;;;;;;;
Grid Runner;Grid Runner;Sony PlayStation;;;;;;;;;;;;;;;;;;
Grind Session (USA);Grind Session (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Groove Adventure Rave - Mikan no Hiseki (Japan);Groove Adventure Rave - Mikan no Hiseki (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Grudge Warriors;Grudge Warriors;Sony PlayStation;;;;;;;;;;;;;;;;;;
Gubble (USA);Gubble (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Guilty Gear;Guilty Gear;Sony PlayStation;;;;;;;;;;;;;;;;;;
Gunbird (Japan);Gunbird (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Gundam Battle Assault;Gundam Battle Assault;Sony PlayStation;;;;;;;;;;;;;;;;;;
Gunfighter The Legend of Jesse James;Gunfighter The Legend of Jesse James;Sony PlayStation;;;;;;;;;;;;;;;;;;
Gunpey (Japan);Gunpey (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Hard Boiled (Japan);Hard Boiled (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Harmful Park (Japan);Harmful Park (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Hexen;Hexen;Sony PlayStation;;;;;;;;;;;;;;;;;;
Hooters Road Trip (USA);Hooters Road Trip (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Hot Wheels - Extreme Racing;Hot Wheels - Extreme Racing;Sony PlayStation;;;;;;;;;;;;;;;;;;
I.Q - Intelligent Qube (USA);I.Q - Intelligent Qube (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
In The Hunt;In The Hunt;Sony PlayStation;;;;;;;;;;;;;;;;;;
Incredible Crisis;Incredible Crisis;Sony PlayStation;;;;;;;;;;;;;;;;;;
Incredible Hulk, The - The Pantheon Saga (USA);Incredible Hulk, The - The Pantheon Saga (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
International Soccer Excite Stage 2000;International Soccer Excite Stage 2000;Sony PlayStation;;;;;;;;;;;;;;;;;;
International Track & Field (USA);International Track & Field (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Irritating Stick (USA);Irritating Stick (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Jimmy White's 2 - Cueball (USA);Jimmy White's 2 - Cueball (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Jinx (Europe) (En,Fr,De,Es,It);Jinx (Europe) (En,Fr,De,Es,It);Sony PlayStation;;;;;;;;;;;;;;;;;;
Johnny Bazookatone;Johnny Bazookatone;Sony PlayStation;;;;;;;;;;;;;;;;;;
Jumping Flash!;Jumping Flash!;Sony PlayStation;;;;;;;;;;;;;;;;;;
Jupiter Strike (USA);Jupiter Strike (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Kaette Kita Cyborg Kuro-chan (Japan);Kaette Kita Cyborg Kuro-chan (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Kakuge Yarou - Fighting Game Creator (Japan);Kakuge Yarou - Fighting Game Creator (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Kakugo no Susume (Japan);Kakugo no Susume (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Kamen Rider;Kamen Rider;Sony PlayStation;;;;;;;;;;;;;;;;;;
Kamen Rider Agito;Kamen Rider Agito;Sony PlayStation;;;;;;;;;;;;;;;;;;
Kamen Rider Kuga;Kamen Rider Kuga;Sony PlayStation;;;;;;;;;;;;;;;;;;
Kamen Rider Ryuki (Japan);Kamen Rider Ryuki (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Kamen Rider V3 (Japan);Kamen Rider V3 (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Kensei - Sacred Fist (USA);Kensei - Sacred Fist (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Kickboxing (USA);Kickboxing (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Kidou Senshi Gundam - Version 2.0 (Japan);Kidou Senshi Gundam - Version 2.0 (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Killing Zone (USA);Killing Zone (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
King of Fighters '95, The (USA);King of Fighters '95, The (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
King of Fighters '96, The (Japan);King of Fighters '96, The (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
King of Fighters '97, The (Japan);King of Fighters '97, The (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
King of Fighters '99, The (USA);King of Fighters '99, The (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
King's Field (USA);King's Field (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Kingsley's Adventure (USA);Kingsley's Adventure (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Kirikou (Europe) (En,Fr,De);Kirikou (Europe) (En,Fr,De);Sony PlayStation;;;;;;;;;;;;;;;;;;
Kitchen Panic;Kitchen Panic;Sony PlayStation;;;;;;;;;;;;;;;;;;
Klonoa - Door to Phantomile (USA);Klonoa - Door to Phantomile (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Klonoa Beach Volleyball (Europe) (En,Fr,De,Es,It);Klonoa Beach Volleyball (Europe) (En,Fr,De,Es,It);Sony PlayStation;;;;;;;;;;;;;;;;;;
Knockout Kings (USA);Knockout Kings (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Kyuiin (Japan);Kyuiin (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
LEGO Island 2 - The Brickster's Revenge (USA);LEGO Island 2 - The Brickster's Revenge (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Land Before Time, The - Big Water Adventure (USA);Land Before Time, The - Big Water Adventure (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Land Before Time, The - Great Valley Racing Adventure (USA);Land Before Time, The - Great Valley Racing Adventure (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Land Before Time, The - Return to the Great Valley (USA);Land Before Time, The - Return to the Great Valley (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Largo Winch Commando Sar;Largo Winch Commando Sar;Sony PlayStation;;;;;;;;;;;;;;;;;;
Legend;Legend;Sony PlayStation;;;;;;;;;;;;;;;;;;
Lego Racers;Lego Racers;Sony PlayStation;;;;;;;;;;;;;;;;;;
Lemmings & Oh No! More Lemmings;Lemmings & Oh No! More Lemmings;Sony PlayStation;;;;;;;;;;;;;;;;;;
Lethal Enforcers I & II;Lethal Enforcers I & II;Sony PlayStation;;;;;;;;;;;;;;;;;;
Libero Grande;Libero Grande;Sony PlayStation;;;;;;;;;;;;;;;;;;
Liberogrande International;Liberogrande International;Sony PlayStation;;;;;;;;;;;;;;;;;;
Loaded;Loaded;Sony PlayStation;;;;;;;;;;;;;;;;;;
Lode Runner (USA);Lode Runner (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Lone Soldier (Europe);Lone Soldier (Europe);Sony PlayStation;;;;;;;;;;;;;;;;;;
Lucifer Ring;Lucifer Ring;Sony PlayStation;;;;;;;;;;;;;;;;;;
Lucky Luke (USA);Lucky Luke (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
MDK;MDK;Sony PlayStation;;;;;;;;;;;;;;;;;;
MTV Sports - T.J. Lavin's Ultimate BMX (USA);MTV Sports - T.J. Lavin's Ultimate BMX (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Machine Hunter;Machine Hunter;Sony PlayStation;;;;;;;;;;;;;;;;;;
Mad Panic Coaster;Mad Panic Coaster;Sony PlayStation;;;;;;;;;;;;;;;;;;
