#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Super Uno (Japan);Super Uno (Japan);Nintendo Super Famicom;;1993;Tomy Corporation;Miscellaneous;;;;;0;;;;;
Super Variable Geo (Japan);Super Variable Geo (Japan);Nintendo Super Famicom;;1995;TGL;Fighter;;;;;0;;;;;
Sutobasu Yarou Show (Japan);Sutobasu Yarou Show (Japan);Nintendo Super Famicom;;1994;Kid;Sports/Basketball;;;;;0;;;;;
Sutte Hakkun (Japan);Sutte Hakkun (Japan);Nintendo Super Famicom;;1998;Nintendo;Puzzle;;;;;0;;;;;
Tactical Soccer (Japan);Tactical Soccer (Japan);Nintendo Super Famicom;;1995;Electronic Arts Victor;Sports/Soccer;;;;;0;;;;;
Tactics Ogre - Let Us Cling Together (Japan) (Translated En);Tactics Ogre - Let Us Cling Together (Japan) (Translated En);Nintendo Super Famicom;;1995;Quest;Strategy;;;;;0;;;;;
Taekwon-Do (Japan);Taekwon-Do (Japan);Nintendo Super Famicom;;1994;Human Club;Fighter;;;;;0;;;;;
Taikyoku Igo - Goliath (Japan);Taikyoku Igo - Goliath (Japan);Nintendo Super Famicom;;1993;Bullet Proof Software;Board Games;;;;;0;;;;;
Taikyoku Igo - Idaten (Japan);Taikyoku Igo - Idaten (Japan);Nintendo Super Famicom;;1995;Bullet Proof Software;Board Games;;;;;0;;;;;
Takeda Nobuhiro no Super League Soccer (Japan);Takeda Nobuhiro no Super League Soccer (Japan);Nintendo Super Famicom;;1994;TOSE;Sports/Soccer;;;;;0;;;;;
Tales of Phantasia (Japan) (Translated En);Tales of Phantasia (Japan) (Translated En);Nintendo Super Famicom;;1995;Namco;Role-Playing;;;;;0;;;;;
Tenchi Muyou! - Game Hen (Japan) (Translated En);Tenchi Muyou! - Game Hen (Japan) (Translated En);Nintendo Super Famicom;;1995;Banpresto;Strategy;;;;;0;;;;;
