#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Vs. (USA);Vs. (USA);Sony PlayStation;;;;;;;;;;;;;;
Backstreet Billiards (USA);Backstreet Billiards (USA);Sony PlayStation;;1998;ASCII;Sports;4+;;;;;;;;;
Backyard Soccer (USA);Backyard Soccer (USA);Sony PlayStation;;2001;Infogrames;Sports;;;;;;;;;;
Baldies (USA);Baldies (USA);Sony PlayStation;;2003;Phoenix;Strategy;1;;;;;;;;;
Ball Breakers (USA);Ball Breakers (USA);Sony PlayStation;;2000;Take Two Interactive;;;;;;;;;;;
BallBlazer Champions (USA);BallBlazer Champions (USA);Sony PlayStation;;1997;LucasArts;Sports;2;;;;;;;;;
Ballerburg - Castle Chaos (USA);Ballerburg - Castle Chaos (USA);Sony PlayStation;;2003;Mud Duck Productions;Action / Strategy;1;;;;;;;;;
Ballistic (USA);Ballistic (USA);Sony PlayStation;;1999;Hasbro;Strategy;;;;;;;;;;
Barbie - Explorer (USA);Barbie - Explorer (USA);Sony PlayStation;;2001;Universal Interactive Studios;Action;1;;;;;;;;;
Barbie - Gotta Have Games (USA);Barbie - Gotta Have Games (USA);Sony PlayStation;;2003;VU Games;Puzzle;4+;;;;;;;;;
Barbie - Race & Ride (USA);Barbie - Race & Ride (USA);Sony PlayStation;;1999;Mattel;Sports;2;;;;;;;;;
Barbie - Super Sports (USA);Barbie - Super Sports (USA);Sony PlayStation;;1999;Mattel;Sports;2;;;;;;;;;
Bases Loaded '96 - Double Header (USA);Bases Loaded '96 - Double Header (USA);Sony PlayStation;;1997;Jaleco;Sports;2;;;;;;;;;
Bass Landing (USA);Bass Landing (USA);Sony PlayStation;;2000;Agetec;Sports;1;;;;;;;;;
Bass Rise (USA);Bass Rise (USA);Sony PlayStation;;1999;Bandai;Sports;1;;;;;;;;;
Batman & Robin (USA);Batman & Robin (USA);Sony PlayStation;;1998;Acclaim;Action / Adventure;1;;;;;;;;;
Batman - Gotham City Racer (USA);Batman - Gotham City Racer (USA);Sony PlayStation;;2001;UbiSoft;Racing;2;;;;;;;;;
Batman Beyond - Return of the Joker (USA);Batman Beyond - Return of the Joker (USA);Sony PlayStation;;2000;Ubi Soft;Action;1;;;;;;;;;
Batman Forever - The Arcade Game (USA);Batman Forever - The Arcade Game (USA);Sony PlayStation;;1996;Acclaim Entertainment;Fighting;2;;;;;;;;;
Battle Arena Toshinden (USA);Battle Arena Toshinden (USA);Sony PlayStation;;1995;Takara;Fighting;2;;;;;;;;;
Battle Arena Toshinden 2 (USA);Battle Arena Toshinden 2 (USA);Sony PlayStation;;1995;Takara;Fighting;2;;;;;;;;;
Battle Arena Toshinden 3 (USA) (En,Ja);Battle Arena Toshinden 3 (USA) (En,Ja);Sony PlayStation;;1997;Takara;Fighting;2;;;;;;;;;
Battle Hunter (USA);Battle Hunter (USA);Sony PlayStation;;2001;A1 Games;;;;;;;;;;;
Battle Stations (USA);Battle Stations (USA);Sony PlayStation;;;Electronic;Action / Strategy;2;;;;;;;;;
BattleSport (USA);BattleSport (USA);Sony PlayStation;;1997;Acclaim;Action;2;;;;;;;;;
BattleTanx - Global Assault (USA);BattleTanx - Global Assault (USA);Sony PlayStation;;2000;3DO;;;;;;;;;;;
Beast Wars - Transformers (USA);Beast Wars - Transformers (USA);Sony PlayStation;;1997;Hasbro;Action;1;;;;;;;;;
Beatmania (Europe);Beatmania (Europe);Sony PlayStation;;2000;Konami;Music;1;;;;;;;;;
Bedlam (Europe) (En,Fr,De,Es,It,Nl);Bedlam (Europe) (En,Fr,De,Es,It,Nl);Sony PlayStation;;1997;GT Interactive;Action;1;;;;;;;;;
Beyblade (USA);Beyblade (USA);Sony PlayStation;;;;;;;;;;;;;;
Beyond the Beyond (USA);Beyond the Beyond (USA);Sony PlayStation;;;;;;;;;;;;;;
Big Air (USA);Big Air (USA);Sony PlayStation;;;;;;;;;;;;;;
Big Bass Fishing (USA);Big Bass Fishing (USA);Sony PlayStation;;2002;Take-Two Interactive;Sports;;;;;;;;;;
Big Bass World Championship (USA);Big Bass World Championship (USA);Sony PlayStation;;1997;Hot-B;Sports;1;;;;;;;;;
