tetris3;Tetris (set 3, Japan, System 16A, FD1094 317-0093a);MAME (Libretro);tetris;1988;Sega;Puzzle / Drop;;;;;0;;;;;
tetris3;Tetris (set 3, Japan, System 16A, FD1094 317-0093a);MAME (Mame4all);tetris;1988;Sega;Puzzle;;;;;0;;;;;
tetris3;Tetris (set 3, Japan, System 16A, FD1094 317-0093a);MAME (Mame4all);tetris;1988;Sega;Puzzle / Drop;;;;;0;;;;;
Tetris 4D (Japan);Tetris 4D (Japan);Sega Dreamcast;;1998;Bullet Proof Software;Puzzle;;;;;0;;;;;
Tetris (576 Kbyte) (Hungary) (Unl);Tetris (576 Kbyte) (Hungary) (Unl);Commodore 64;;1993;576 KByte;Puzzle;;;;;0;;;;;
Tetris 95 (Europe) (Unl);Tetris 95 (Europe) (Unl);Amstrad CPC;;1995;Power System;Puzzle;;;;;0;;;;;
Tetrisack (Poland) (Unl);Tetrisack (Poland) (Unl);Commodore 64;;1995;Stratos Soft;Puzzle;;;;;0;;;;;
Tetris Attack (USA, Europe) (Rev A);Tetris Attack (USA, Europe) (Rev A);Nintendo Game Boy;;1996;Nintendo;Puzzle;;;;;0;;;;;
Tetris Attack (USA, Europe);Tetris Attack (USA, Europe);Nintendo Game Boy;;1996;Nintendo;Puzzle;;;;;0;;;;;
Tetris Attack (USA);Tetris Attack (USA);Super Nintendo Entertainment System;;1996;Nintendo;Puzzle;;;;;0;;;;;
Tetris Battle Gaiden (Japan);Tetris Battle Gaiden (Japan);Nintendo Super Famicom;;1993;Bullet Proof Software;Puzzle;;;;;0;;;;;
Tetris Blast (USA, Europe);Tetris Blast (USA, Europe);Nintendo Game Boy;;1996;Nintendo;Puzzle;;;;;0;;;;;
tetrisbl;Tetris (bootleg);Arcade;tetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
tetrisbl;Tetris (bootleg) [Bootleg];Final Burn Alpha;tetris;1988;bootleg;;;;;;0;;;;;
tetrisbl;Tetris (bootleg);Final Burn Alpha;tetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
tetrisbl;Tetris (bootleg);MAME (Advance);tetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
tetrisbl;Tetris (bootleg);MAME (Libretro);tetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
tetrisbl;Tetris (bootleg);MAME (Mame4all);tetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
Tetris (Bulletproof) (Japan);Tetris (Bulletproof) (Japan);Nintendo Famicom;;1988;Bullet Proof Software;Puzzle;;;;;0;;;;;
Tetris (DaCapo) (Europe) (Unl);Tetris (DaCapo) (Europe) (Unl);Commodore 64;;2013;Karoshier;Puzzle;;;;;0;;;;;
Tetris & Dr. Mario (USA);Tetris & Dr. Mario (USA);Super Nintendo Entertainment System;;1994;Nintendo;Puzzle;;;;;0;;;;;
Tetris DS (USA);Tetris DS;Nintendo DS;;;;;;;;;0;;;;;
Tetris DX (World);Tetris DX (World);Nintendo Game Boy Color;;1999;Nintendo;Puzzle;;;;;0;;;;;
Tetris (Europe);Tetris (Europe);Amstrad CPC;;1987;Mirrorsoft;Puzzle;;;;;0;;;;;
Tetris (Europe);Tetris (Europe);Sinclair ZX Spectrum;;1988;Mirrorsoft;Puzzle;;;;;0;;;;;
Tetris II (Europe);Tetris II (Europe);Amstrad CPC;;1991;Abacus;Puzzle;;;;;0;;;;;
Tetris II Strikes Back (USA);Tetris II Strikes Back (USA);Atari ST;;1996;Beast Software;Puzzle;;;;;0;;;;;
Tetris (Japan);Tetris (Japan);Bandai WonderSwan Color;;2002;Vanguard;Puzzle;;;;;0;;;;;
Tetris (Japan);Tetris (Japan);Microsoft MSX2;;1987;AcademySoft / Mirrorsoft;Puzzle;;;;;0;;;;;
Tetris (Japan);Tetris (Japan);Sega Genesis;;1989;Sanritsu;Puzzle;;;;;0;;;;;
Tetris (Korea) (Unl);Tetris (Korea) (Unl);Microsoft MSX;;;;;;;;;0;;;;;
Tetris (MirrorSoft) (Europe);Tetris (MirrorSoft) (Europe);Atari ST;;1987;MirrorSoft;Puzzle;;;;;0;;;;;
Tetris (Mirrorsoft Ltd.) (Europe);Tetris (Mirrorsoft Ltd.) (Europe);Commodore 64;;1988;Mirrorsoft Ltd.;Puzzle;;;;;0;;;;;
Tetris Original (Hungary) (Unl);Tetris Original (Hungary) (Unl);Commodore 64;;19xx;Bobosoft;Puzzle;;;;;0;;;;;
tetrisp2ja;Tetris Plus 2 (Japan, V2.1);Arcade;tetrisp2;1997;Jaleco / The Tetris Company;Puzzle / Drop;;;;;0;;;;;
