Bishoujo Senshi Sailor Moon - Another Story (Japan) (Translated En);Bishoujo Senshi Sailor Moon - Another Story (Japan) (Translated En);Nintendo Super Famicom;;1995;Angel (Bandai);Role-Playing;;;;;0;;;;;
sailormnou;Pretty Soldier Sailor Moon (Ver. 95/03/22, USA);MAME (Mame4all);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormn;Pretty Soldier Sailor Moon (ver. 95/03/22B, Europe);Arcade;;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormn;Pretty Soldier Sailor Moon (Ver. 95/03/22B, Europe);Arcade;;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormn;Pretty Soldier Sailor Moon (ver. 95/03/22B, Europe);Final Burn Alpha;;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormn;Pretty Soldier Sailor Moon (Ver. 95/03/22B, Europe);Final Burn Alpha;;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormn;Pretty Soldier Sailor Moon (ver. 95/03/22B, Europe);MAME (Advance);;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormn;Pretty Soldier Sailor Moon (Ver. 95/03/22B, Europe);MAME (Advance);;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormn;Pretty Soldier Sailor Moon (ver. 95/03/22B, Europe);MAME (Libretro);;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormn;Pretty Soldier Sailor Moon (Ver. 95/03/22B, Europe);MAME (Libretro);;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormn;Pretty Soldier Sailor Moon (ver. 95/03/22B, Europe);MAME (Mame4all);;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormn;Pretty Soldier Sailor Moon (Ver. 95/03/22B, Europe);MAME (Mame4all);;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnt;Pretty Soldier Sailor Moon (ver. 95/03/22B, Taiwan);Arcade;sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnt;Pretty Soldier Sailor Moon (Ver. 95/03/22B, Taiwan);Arcade;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnt;Pretty Soldier Sailor Moon (ver. 95/03/22B, Taiwan);Final Burn Alpha;sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnt;Pretty Soldier Sailor Moon (Ver. 95/03/22B, Taiwan);Final Burn Alpha;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnt;Pretty Soldier Sailor Moon (ver. 95/03/22B, Taiwan);MAME (Advance);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnt;Pretty Soldier Sailor Moon (Ver. 95/03/22B, Taiwan);MAME (Advance);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnt;Pretty Soldier Sailor Moon (ver. 95/03/22B, Taiwan);MAME (Libretro);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
