corv_lx2;Corvette (LX2);Arcade;corv_21;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
corv_lx2;Corvette (LX2);MAME (Advance);corv_21;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
corv_lx2;Corvette (LX2);MAME (Libretro);corv_21;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
corv_lx2;Corvette (LX2);MAME (Mame4all);corv_21;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
corv_px4;Corvette (PX4);Arcade;corv_21;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
corv_px4;Corvette (PX4);MAME (Advance);corv_21;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
corv_px4;Corvette (PX4);MAME (Libretro);corv_21;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
corv_px4;Corvette (PX4);MAME (Mame4all);corv_21;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
cosmic;Cosmic;Arcade;;1981;Taito do Brasil;Electromechanical / Pinball;;;;;0;;;;;
cosmic;Cosmic;MAME (Advance);;1981;Taito do Brasil;Electromechanical / Pinball;;;;;0;;;;;
cosmic;Cosmic;MAME (Libretro);;1981;Taito do Brasil;Electromechanical / Pinball;;;;;0;;;;;
cosmic;Cosmic;MAME (Mame4all);;1981;Taito do Brasil;Electromechanical / Pinball;;;;;0;;;;;
cp_15;The Champion Pub (1.5);Arcade;cp_16;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cp_15;The Champion Pub (1.5);MAME (Advance);cp_16;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cp_15;The Champion Pub (1.5);MAME (Libretro);cp_16;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cp_15;The Champion Pub (1.5);MAME (Mame4all);cp_16;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cp_16;The Champion Pub (1.6);Arcade;;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cp_16;The Champion Pub (1.6);MAME (Advance);;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cp_16;The Champion Pub (1.6);MAME (Libretro);;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cp_16;The Champion Pub (1.6);MAME (Mame4all);;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cpthook;Captain Hook;Arcade;;1985;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
cpthook;Captain Hook;MAME (Advance);;1985;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
cpthook;Captain Hook;MAME (Libretro);;1985;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
cpthook;Captain Hook;MAME (Mame4all);;1985;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
Crash Bandicoot Purple - Ripto's Rampage (USA);Crash Bandicoot Purple - Ripto's Rampage (USA);Nintendo Game Boy Advance;;2004;VU Games;Pinball;;;;;0;;;;;
Crue Ball - Heavy Metal Pinball (USA, Europe);Crue Ball - Heavy Metal Pinball (USA, Europe);Sega Genesis;;1992;NuFX;Pinball;;;;;0;;;;;
csmic_l1;Cosmic Gunfight (L-1);Arcade;;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
csmic_l1;Cosmic Gunfight (L-1);MAME (Advance);;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
