spacerng;Space Ranger (bootleg of Space Invaders);Arcade;invaders;1978;bootleg (Leisure Time Electronics);Shooter / Gallery;;;;;0;;;;;
spacerng;Space Ranger (bootleg of Space Invaders);MAME (Advance);invaders;1978;bootleg (Leisure Time Electronics);Shooter / Gallery;;;;;0;;;;;
spacerng;Space Ranger (bootleg of Space Invaders);MAME (Libretro);invaders;1978;bootleg (Leisure Time Electronics);Shooter / Gallery;;;;;0;;;;;
spacerng;Space Ranger (bootleg of Space Invaders);MAME (Mame4all);invaders;1978;bootleg (Leisure Time Electronics);Shooter / Gallery;;;;;0;;;;;
spcinv95;Space Invaders '95 The Attack Of Lunar Loonies (Ver 2.5O 1995/06/14);Arcade;;1995;Taito Corporation Japan;Shooter / Gallery;;;;;0;;;;;
spcinv95;Space Invaders '95 The Attack Of Lunar Loonies (Ver 2.5O 1995/06/14);MAME (Advance);;1995;Taito Corporation Japan;Shooter / Gallery;;;;;0;;;;;
spcinv95;Space Invaders '95 The Attack Of Lunar Loonies (Ver 2.5O 1995/06/14);MAME (Libretro);;1995;Taito Corporation Japan;Shooter / Gallery;;;;;0;;;;;
spcinv95;Space Invaders '95 The Attack Of Lunar Loonies (Ver 2.5O 1995/06/14);MAME (Mame4all);;1995;Taito Corporation Japan;Shooter / Gallery;;;;;0;;;;;
spcinv95u;Space Invaders '95 The Attack Of Lunar Loonies (Ver 2.5A 1995/06/14);Arcade;spcinv95;1995;Taito America Corporation;Shooter / Gallery;;;;;0;;;;;
spcinv95u;Space Invaders '95 The Attack Of Lunar Loonies (Ver 2.5A 1995/06/14);MAME (Advance);spcinv95;1995;Taito America Corporation;Shooter / Gallery;;;;;0;;;;;
spcinv95u;Space Invaders '95 The Attack Of Lunar Loonies (Ver 2.5A 1995/06/14);MAME (Libretro);spcinv95;1995;Taito America Corporation;Shooter / Gallery;;;;;0;;;;;
spcinv95u;Space Invaders '95 The Attack Of Lunar Loonies (Ver 2.5A 1995/06/14);MAME (Mame4all);spcinv95;1995;Taito America Corporation;Shooter / Gallery;;;;;0;;;;;
spcinvdj;Space Invaders DX (Ver 2.6J 1994/09/14) (F3 Version);Arcade;spacedx;1994;Taito Corporation;Shooter / Gallery;;;;;0;;;;;
spcinvdj;Space Invaders DX (Ver 2.6J 1994/09/14) (F3 Version);MAME (Advance);spacedx;1994;Taito Corporation;Shooter / Gallery;;;;;0;;;;;
spcinvdj;Space Invaders DX (Ver 2.6J 1994/09/14) (F3 Version);MAME (Libretro);spacedx;1994;Taito Corporation;Shooter / Gallery;;;;;0;;;;;
spcinvdj;Space Invaders DX (Ver 2.6J 1994/09/14) (F3 Version);MAME (Mame4all);spacedx;1994;Taito Corporation;Shooter / Gallery;;;;;0;;;;;
ssi;Super Space Invaders '91 (World);Final Burn Alpha;;1990;Taito Corporation Japan;;;;;;0;;;;;
ssi;Super Space Invaders '91 (World, Rev 1);Arcade;;1990;Taito Corporation Japan;Shooter / Gallery;;;;;0;;;;;
