Division One '92 (Europe);Division One '92 (Europe);Atari ST;;1992;The Midnight Oil;Sports/Soccer;;;;;0;;;;;
Dolucky no A.League Soccer (Japan);Dolucky no A.League Soccer (Japan);Nintendo Super Famicom;;1994;Zoom;Sports/Soccer;;;;;0;;;;;
Double, The (Europe);Double, The (Europe);Commodore 64;;1986;Johnson Scanatron Ltd.;Sports/Soccer;;;;;0;;;;;
Double, The (Europe);Double, The (Europe);Sinclair ZX Spectrum;;1987;Scanatron;Sports/Soccer;;;;;0;;;;;
driblingbr;Dribbling (bootleg, Brazil);Arcade;dribling;1983;bootleg (Videomac);Sports / Soccer;;;;;0;;;;;
driblingbr;Dribbling (bootleg, Brazil);Final Burn Alpha;dribling;1983;bootleg (Videomac);Sports / Soccer;;;;;0;;;;;
driblingbr;Dribbling (bootleg, Brazil);MAME (Advance);dribling;1983;bootleg (Videomac);Sports / Soccer;;;;;0;;;;;
driblingbr;Dribbling (bootleg, Brazil);MAME (Libretro);dribling;1983;bootleg (Videomac);Sports / Soccer;;;;;0;;;;;
driblingbr;Dribbling (bootleg, Brazil);MAME (Mame4all);dribling;1983;bootleg (Videomac);Sports / Soccer;;;;;0;;;;;
dribling;Dribbling;Arcade;;1983;Model Racing;Sports / Soccer;;;;;0;;;;;
dribling;Dribbling;Final Burn Alpha;;1983;Model Racing;Sports / Soccer;;;;;0;;;;;
dribling;Dribbling;MAME (Advance);;1983;Model Racing;Sports / Soccer;;;;;0;;;;;
dribling;Dribbling;MAME (Libretro);;1983;Model Racing;Sports / Soccer;;;;;0;;;;;
dribling;Dribbling;MAME (Mame4all);;1983;Model Racing;Sports / Soccer;;;;;0;;;;;
driblingo;Dribbling (Olympia);Arcade;dribling;1983;Model Racing (Olympia license);Sports / Soccer;;;;;0;;;;;
driblingo;Dribbling (Olympia);Final Burn Alpha;dribling;1983;Model Racing (Olympia license);Sports / Soccer;;;;;0;;;;;
driblingo;Dribbling (Olympia);MAME (Advance);dribling;1983;Model Racing (Olympia license);Sports / Soccer;;;;;0;;;;;
driblingo;Dribbling (Olympia);MAME (Libretro);dribling;1983;Model Racing (Olympia license);Sports / Soccer;;;;;0;;;;;
driblingo;Dribbling (Olympia);MAME (Mame4all);dribling;1983;Model Racing (Olympia license);Sports / Soccer;;;;;0;;;;;
dsoccr94;Dream Soccer '94 (World, M107 hardware);Arcade;;1994;Irem (Data East Corporation license);Sports / Soccer;;;;;0;;;;;
dsoccr94;Dream Soccer '94 (World, M107 hardware);Arcade;;1994;Irem (Data East Corporation license);Sports/Soccer;;;;;0;;;;;
dsoccr94;Dream Soccer '94 (World, M107 hardware);Final Burn Alpha;;1994;Irem (Data East Corporation license);Sports/Soccer;;;;;0;;;;;
dsoccr94;Dream Soccer '94 (World, M107 hardware);MAME (Advance);;1994;Irem (Data East Corporation license);Sports / Soccer;;;;;0;;;;;
dsoccr94;Dream Soccer '94 (World, M107 hardware);MAME (Advance);;1994;Irem (Data East Corporation license);Sports/Soccer;;;;;0;;;;;
dsoccr94;Dream Soccer '94 (World, M107 hardware);MAME (Libretro);;1994;Irem (Data East Corporation license);Sports / Soccer;;;;;0;;;;;
dsoccr94;Dream Soccer '94 (World, M107 hardware);MAME (Libretro);;1994;Irem (Data East Corporation license);Sports/Soccer;;;;;0;;;;;
