#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Hyper Dunk - The Playoff Edition (Japan);Hyper Dunk - The Playoff Edition (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Hyper Marbles (Japan) (SegaNet);Hyper Marbles (Japan) (SegaNet);Sega Mega Drive Japan;;;Sega;Action;1;;;;;;;Hyper Marbles;;
Ikasuze! Koi no Doki Doki Penguin Land MD (Japan) (SegaNet);Ikasuze! Koi no Doki Doki Penguin Land MD (Japan) (SegaNet);Sega Mega Drive Japan;;;Sega;Action, Puzzle;1;;;;;;;Ikasuze! Koi no Doki Doki Penguin Land MD;;
J. League Champion Soccer (Japan);J. League Champion Soccer (Japan);Sega Mega Drive Japan;;;Shogakukan Productions Co., Ltd.;Sports;4;;;;;;;J. League Champion Soccer;;
J. League Pro Striker (Japan) (v1.3);J. League Pro Striker (Japan) (v1.3);Sega Mega Drive Japan;;;Sega;Sports;;;;;;;;J.League Pro Striker;;
J. League Pro Striker 2 (Japan);J. League Pro Striker 2 (Japan);Sega Mega Drive Japan;;;Sega;Sports;0;;;;;;;J.League Pro Striker 2;;
J. League Pro Striker Perfect (Japan);J. League Pro Striker Perfect (Japan);Sega Mega Drive Japan;;;Sega;Sports;1;;;;;;;J. League Pro Striker Perfect;;
James Pond II (Japan, Korea);James Pond II (Japan, Korea);Sega Mega Drive Japan;;;;;;;;;;;;;;
Janou Touryuumon (Japan);Janou Touryuumon (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Jantei Monogatari (Japan);Jantei Monogatari (Japan);Sega Mega Drive Japan;;;Telenet Japan Co., Ltd.;;;;;;;;;Jantei Monogatari;;
Jashin Draxos (Japan, Korea);Jashin Draxos (Japan, Korea);Sega Mega Drive Japan;;;;;;;;;;;;;;
Jiu Ji Ma Jiang II - Ye Yan Bian (China) (Unl);Jiu Ji Ma Jiang II - Ye Yan Bian (China) (Unl);Sega Mega Drive Japan;;;Sun Green;Strategy;;;;;;;;Jiu Ji Ma Jiang II: Ye Yan Bian;;
John Madden Football - Pro Football (Japan);John Madden Football - Pro Football (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Jordan vs Bird - One on One (Japan);Jordan vs Bird - One on One (Japan);Sega Mega Drive Japan;;;Milton Bradley Co.;Sports;2;;;;;;;Jordan Vs Bird: One on One;;
Jungle Strike - Uketsugareta Kyouki (Japan);Jungle Strike - Uketsugareta Kyouki (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Juuouki (Japan);Juuouki (Japan);Sega Mega Drive Japan;;;NEC Avenue, Ltd.;Action, Fighting;1;;;;;;;Juuouki;;
Juusou Kihei Leynos (Japan);Juusou Kihei Leynos (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Ka-Ge-Ki (Japan);Ka-Ge-Ki (Japan);Sega Mega Drive Japan;;;Taito Corporation;Fighting;2;;;;;;;Kageki;;
Kick Boxing, The (Japan, Korea);Kick Boxing, The (Japan, Korea);Sega Mega Drive Japan;;;;;;;;;;;;;;
Kidou Keisatsu Patlabor - 98-Shiki Kidou Seyo! (Japan);Kidou Keisatsu Patlabor - 98-Shiki Kidou Seyo! (Japan);Sega Mega Drive Japan;;;Ma-Ba;Adventure;;;;;;;;Kidou Keisatsu Patlabor: 98-Shiki Kidou Seyo!;;
Killing Game Show, The (Japan);Killing Game Show, The (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
King Salmon (Japan);King Salmon (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Kishi Densetsu (Japan);Kishi Densetsu (Japan);Sega Mega Drive Japan;;;Kodansha Ltd.;Strategy;;;;;;;;Kishi Densetsu;;
Kiss Shot (Japan) (SegaNet);Kiss Shot (Japan) (SegaNet);Sega Mega Drive Japan;;;Sega;Sports;1;;;;;;;Kiss Shot;;
Kyuukai Douchuuki (Japan);Kyuukai Douchuuki (Japan);Sega Mega Drive Japan;;;Namco;Sports;;;;;;;;Kyuukai Douchuuki;;
Langrisser (Japan);Langrisser (Japan);Sega Mega Drive Japan;;;Masaya;Role-Playing, Strategy;1;;;;;;;Langrisser;;
Langrisser II (Japan);Langrisser II (Japan);Sega Mega Drive Japan;;;Masaya;Role-Playing, Strategy;1;;;;;;;Langrisser II;;
Long (China) (Unl);Long (China) (Unl);Sega Mega Drive Japan;;;;;;;;;;;;;;
Lord Monarch - Tokoton Sentou Densetsu (Japan);Lord Monarch - Tokoton Sentou Densetsu (Japan);Sega Mega Drive Japan;;;Sega;Strategy;;;;;;;;Lord Monarch: Tokoton Sentou Densetsu;;
Ma Jiang Qing Ren - Ji Ma Jiang Zhi (China) (Unl);Ma Jiang Qing Ren - Ji Ma Jiang Zhi (China) (Unl);Sega Mega Drive Japan;;;松诠资讯;;;;;;;;;Ma Jiang Qing Ren: Ji Ma Jiang Zhi;;
