samuraia;Samurai Aces (World);Final Burn Alpha;;1993;Psikyo / Banpresto;;;;;;0;;;;;
samuraia;Samurai Aces (World);MAME (Advance);;1993;Psikyo;Shooter / Flying Vertical;;;;;0;;;;;
samuraia;Samurai Aces (World);MAME (Libretro);;1993;Psikyo;Shooter / Flying Vertical;;;;;0;;;;;
samuraia;Samurai Aces (World);MAME (Mame4all);;1993;Psikyo;Shooter / Flying Vertical;;;;;0;;;;;
samuraig;Samurai-Ghost;Final Burn Alpha;;1992;TTI;;;;;;0;;;;;
seconds;The Second Samurai (Euro);Final Burn Alpha;;1994;Psygnosis;;;;;;0;;;;;
souledge;Soul Edge vs Samurai Spirits (Pirate);Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;
souledgea;Soul Edge vs Samurai Spirits (Pirate, Cracked);Final Burn Alpha;souledge;199?;unlicensed;;;;;;0;;;;;
tsamurai2;Samurai Nihon-Ichi (set 2);Arcade;tsamurai;1985;Kaneko / Taito;Fighter / 2D;;;;;0;;;;;
tsamurai2;Samurai Nihon-Ichi (set 2);MAME (Advance);tsamurai;1985;Kaneko / Taito;Fighter / 2D;;;;;0;;;;;
tsamurai2;Samurai Nihon-Ichi (set 2);MAME (Libretro);tsamurai;1985;Kaneko / Taito;Fighter / 2D;;;;;0;;;;;
tsamurai2;Samurai Nihon-Ichi (set 2);MAME (Mame4all);tsamurai;1985;Kaneko / Taito;Fighter / 2D;;;;;0;;;;;
tsamurai;Samurai Nihon-Ichi (set 1);Arcade;;1985;Kaneko / Taito;Fighter / 2D;;;;;0;;;;;
tsamurai;Samurai Nihon-Ichi (set 1);MAME (Advance);;1985;Kaneko / Taito;Fighter / 2D;;;;;0;;;;;
tsamurai;Samurai Nihon-Ichi (set 1);MAME (Libretro);;1985;Kaneko / Taito;Fighter / 2D;;;;;0;;;;;
tsamurai;Samurai Nihon-Ichi (set 1);MAME (Mame4all);;1985;Kaneko / Taito;Fighter / 2D;;;;;0;;;;;
tsamuraih;Samurai Nihon-Ichi (bootleg, harder);Arcade;tsamurai;1985;bootleg;Fighter / 2D;;;;;0;;;;;
tsamuraih;Samurai Nihon-Ichi (bootleg, harder);MAME (Advance);tsamurai;1985;bootleg;Fighter / 2D;;;;;0;;;;;
tsamuraih;Samurai Nihon-Ichi (bootleg, harder);MAME (Libretro);tsamurai;1985;bootleg;Fighter / 2D;;;;;0;;;;;
tsamuraih;Samurai Nihon-Ichi (bootleg, harder);MAME (Mame4all);tsamurai;1985;bootleg;Fighter / 2D;;;;;0;;;;;
tshingen;Shingen Samurai-Fighter (Japan, English);Arcade;;1988;Jaleco;Fighter / Field;;;;;0;;;;;
tshingen;Shingen Samurai-Fighter (Japan, English);MAME (Advance);;1988;Jaleco;Fighter / Field;;;;;0;;;;;
tshingen;Shingen Samurai-Fighter (Japan, English);MAME (Libretro);;1988;Jaleco;Fighter / Field;;;;;0;;;;;
tshingen;Shingen Samurai-Fighter (Japan, English);MAME (Mame4all);;1988;Jaleco;Fighter / Field;;;;;0;;;;;
