Double Dragon V - The Shadow Falls (USA);Double Dragon V - The Shadow Falls (USA);Sega Genesis;;1994;Leland Interactive Media;Fighter;;;;;0;;;;;
Double Dragon V - The Shadow Falls (USA);Double Dragon V - The Shadow Falls (USA);Super Nintendo Entertainment System;;1994;Tradewest;Fighter;;;;;0;;;;;
Dr. Doom's Revenge (Europe);Dr. Doom's Revenge (Europe);Sinclair ZX Spectrum;;1989;Empire Software;Fighter;;;;;0;;;;;
Dragon - The Bruce Lee Story (USA);Dragon - The Bruce Lee Story (USA);Sega Genesis;;1994;Virgin Interactive;Fighter;;;;;0;;;;;
Dragon Ball GT - Final Bout (USA);Dragon Ball GT - Final Bout (USA);Sony PSP;;1997;Bandai;Fighter;;;;;0;;;;;
Dragon Ball GT - Final Bout (USA);Dragon Ball GT - Final Bout (USA);Sony PlayStation;;1997;Bandai;Fighter;;;;;0;;;;;
Dragon Ball Z - Hyper Dimension (France);Dragon Ball Z - Hyper Dimension (France);Super Nintendo Entertainment System;;1996;TOSE;Fighter;;;;;0;;;;;
Dragon Ball Z - Hyper Dimension (Japan) (Translated En);Dragon Ball Z - Hyper Dimension (Japan) (Translated En);Nintendo Super Famicom;;1996;TOSE;Fighter;;;;;0;;;;;
Dragon Ball Z - Idainaru Son Gokuu Densetsu (Japan);Dragon Ball Z - Idainaru Son Gokuu Densetsu (Japan);NEC PC Engine-CD;;1994;Bandai;Fighter;;;;;0;;;;;
Dragon Ball Z - L'Appel du Destin (France) (Translated En);Dragon Ball Z - L'Appel du Destin (France) (Translated En);Sega Genesis;;1994;TOSE;Fighter;;;;;0;;;;;
Dragon Ball Z - La Legende Saien (France);Dragon Ball Z - La Legende Saien (France);Super Nintendo Entertainment System;;1994;TOSE;Fighter;;;;;0;;;;;
Dragon Ball Z - Super Butouden (France);Dragon Ball Z - Super Butouden (France);Super Nintendo Entertainment System;;1993;TOSE;Fighter;;;;;0;;;;;
Dragon Ball Z - Supersonic Warriors (USA);Dragon Ball Z - Supersonic Warriors (USA);Nintendo Game Boy Advance;;2004;Atari;Fighter;;;;;0;;;;;
Dragon Ball Z - Taiketsu (USA);Dragon Ball Z - Taiketsu (USA);Nintendo Game Boy Advance;;2003;Atari;Fighter;;;;;0;;;;;
Dragon Ball Z - Ultimate Battle 22 (USA);Dragon Ball Z - Ultimate Battle 22 (USA);Sony PSP;;2003;Infogrames;Fighter;;;;;0;;;;;
